py5_name,java_name,decorator,type,category,subcategory,implementation,comments
is_jvm_running,,,function,jvm,,PYTHON,jvm
add_options,,,function,jvm,,PYTHON,jvm
get_classpath,,,function,jvm,,PYTHON,jvm
add_classpath,,,function,jvm,,PYTHON,jvm
add_jars,,,function,jvm,,PYTHON,jvm
screenshot,,,function,sketch_hooks,,PYTHON,hooks
save_frames,,,function,sketch_hooks,,PYTHON,hooks
animated_gif,,,function,sketch_hooks,,PYTHON,hooks
capture_frames,,,function,sketch_hooks,,PYTHON,hooks
sketch_portal,,,function,sketch_hooks,,PYTHON,hooks
get_jvm_debug_info,,,function,jvm,,PYTHON,jvm
offline_frame_processing,,,function,sketch_hooks,,PYTHON,hooks
register_processing_mode_key,,,function,processing_mode,,PYTHON,processing mode
